time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-3.95117078608948e-06,9.710406722060804e-07,10.009230918715447,0.00011371185535224981,0.0006336171099938781,0.0,-0.00022910133112076384,5.4212536171397295e-05,0.30766506290404566,-0.005083906429131165,-0.010001870208304627,0.0,499.30428113670325,498.57425308263487,498.1634289575512,497.7916467344967
0.12000000000000001,-2.9677814123542202e-05,5.7152479390496364e-06,10.028929331403923,6.28316747076624,0.0004957983095765783,0.0,-0.0006237471572797304,8.836849499964623e-05,0.34893662979065215,-0.0015660006443840196,-0.018746112077908446,0.0,418.20088556319786,417.43876335594126,417.94955166476245,418.2560671231294
0.18,-7.869064173512417e-05,1.3903654175232768e-05,10.054813408831683,0.0009287860722730912,0.0003892560063913919,0.0,-0.001011858671681529,0.0002790166135703198,0.5138056925633538,0.008472820731247357,-0.03106497387444162,0.0,458.06618426411626,457.085627265631,456.3665468588863,457.16697258369817
0.23999999999999996,-0.00015045205044812555,5.880430662616127e-05,10.085177309576764,0.0050727069097700195,0.0014374158925694047,0.0,-0.0014861894248418977,0.0015528073936936168,0.49833052884040835,0.028194213076551417,-0.05099716475869084,0.0,399.8166493408556,397.9958918272971,397.91886350718295,399.71983531775874
0.3,-0.00027379324462689175,0.0002559827954239084,10.116496987226274,0.00722073547318125,0.003731669552686334,0.0,-0.002818630196000754,0.005216116047415186,0.5456354112200222,0.034491096701975574,-0.026821613282503754,0.0,419.2882626904951,421.3818428898435,419.63584287675906,420.182369890423
0.36000000000000004,-0.0005149733057654138,0.0007162461013737077,10.150943999140576,0.009310701946287026,0.003886975109821833,0.0,-0.005222650135120642,0.010324895454094889,0.6025680115823618,0.035265889584140314,-0.013420588633891582,0.0,423.2821311058085,424.4335889138117,422.7980279654503,422.86534602256523
0.4200000000000001,-0.0009711005398509315,0.0015636215254014728,10.192894584282913,0.011541219865781827,0.016389783392733115,0.0,-0.011383675306237441,0.018174858860318794,0.7956562747345898,0.03796290969620311,0.025359501210787467,0.0,464.9983759197834,468.02600892189207,465.2248253806051,465.43644662620034
0.48000000000000015,-0.002045012053347559,0.0029343029982324123,10.246239162000593,0.01413677185521145,0.01845645446165367,0.0,-0.024659113186364694,0.027819416388561113,0.9823459937020426,0.03047196902559961,0.015983092128217954,0.0,464.1825012965953,463.44620831442836,465.0942340466011,464.50773727943863
0.5400000000000001,-0.003938745137696478,0.004928491882874315,10.309494910262769,0.01789712522032616,0.02036606667232288,0.0,-0.03868300240181342,0.03904415957754499,1.1260374446204273,0.044545451497557814,0.004035280043761046,0.0,451.4724224124448,450.5073932792277,451.64524938855504,452.77929046446417
0.6000000000000002,-0.006721141282564835,0.00769315359495388,10.381840056513532,0.02252991109224567,0.021224704643817205,0.0,-0.05416627172682893,0.05363961463187892,1.2852884558181588,0.02796189629044771,-0.005849263498138187,0.0,456.43424754111504,455.64478165770737,457.97192370719165,456.65185663006804
0.6600000000000003,-0.01045232392185162,0.011452303206154152,10.463859841463659,0.03071746367073036,0.02156621426413441,0.0,-0.07025211327048751,0.07254268024790352,1.4484872419229469,0.05473707433250957,-0.01624359119471281,0.0,458.6184834162556,457.7923487895153,457.2723920077744,459.4007990965564
0.7200000000000003,-0.015216004317105838,0.016588805589789427,10.557974537960487,0.035235164150011045,0.023820361026967163,0.0,-0.0888326477253761,0.09920421965086498,1.6883203125510662,0.06576203438193712,-0.037164014856380746,0.0,482.57127635150135,480.98962677881735,480.6527818567499,481.48961341543236
0.7800000000000004,-0.021185082989336846,0.023483718930104782,10.667765837141157,0.03944771139600789,0.027442981393709154,0.0,-0.11056091591968736,0.1311619490933887,1.9709121733062869,0.0587772078780281,-0.011836123685602105,0.0,492.59218940831056,494.46127409330427,495.4320080201658,494.92070437486313
0.8400000000000004,-0.02839009288309525,0.0321896554898724,10.789161031401411,0.04357810014609864,0.02753958056228356,0.0,-0.12960230215825658,0.15944445164609292,2.075389877969223,0.06617286808246325,-0.003123900535288147,0.0,442.42578264686875,443.1425907879407,441.6624334322691,442.27465285769387
0.9000000000000005,-0.036798411305303404,0.04275007290020215,10.918417940358653,0.04789433415849498,0.03137644994209143,0.0,-0.15106808347233472,0.19302610995324293,2.232841620492904,0.0715256575045189,0.01768423937808679,0.0,458.1061886857796,459.7576586219495,459.2635691541081,459.69121961944046
0.9600000000000005,-0.046479270183963715,0.055286086979969555,11.054225625187014,0.05371582426824517,0.032425508752048415,0.0,-0.17172602418979693,0.22538242949719767,2.2939241103508747,0.08392795311635498,0.016458586026918413,0.0,430.59250579717883,430.4887445450496,428.30205859113147,429.36027491390126
1.0200000000000005,-0.057508161441510074,0.07002506265660947,11.196118812051704,0.06271304524079646,0.03534855654645508,0.0,-0.19622866476620868,0.2668970415104324,2.4354805237379495,0.06089113267322177,-2.8794499755269674e-05,0.0,456.7595955780709,455.4427649880857,455.67318587286644,453.83243857227154
1.0800000000000005,-0.0700139319652746,0.08735231619745636,11.345094602534239,0.06994582645515468,0.036438458311510935,0.0,-0.22074689281341403,0.31137525857742104,2.5301129904658097,0.0804502652931248,-0.01273681003112511,0.0,443.784982998889,442.74074691932776,439.0992565449068,440.72229908565964
1.1400000000000006,-0.08409055958630227,0.10765700044018425,11.50199636889343,0.07701177498358724,0.036185952738150284,0.0,-0.24844251132196793,0.3661939037986194,2.6994918520723754,0.09568485028562945,-0.021864294844332402,0.0,466.32281623101073,465.60939740388835,463.8333950354872,465.0339474040241
